_id,rows,cols,pixel_spacing_norm,slice_thickness,kvp
244a5225a00016a17e07a994deccf56a,512,512,0.8,8.0,140.0
2e27405c65bc7da4049776146c471669,512,512,0.6,2.0,120.0
921ce5952b3bd3a3124a563e8b985252,512,512,0.65,5.0,130.0
2e6cdca3c756880c7d69d4255aca6085,512,512,0.8,8.0,130.0
f65f385ac30065b55bae37e52f77febe,512,512,0.8,5.0,120.0
b2e850de6a70bf2f466bb699cd9e47be,512,512,0.8,2.5,140.0
edd55d28365a828eb706d58582a63974,512,512,0.7,5.0,120.0
8ffa291a6f0cb5f661e02127e197fc9e,512,512,0.8,5.0,140.0
4203f6856d38bc581cdad2f8cecc8911,512,512,0.65,5.0,120.0
28c34744c0bf74994f2beb0a5006bc1b,512,512,0.75,5.0,120.0
dd4eb04db3672d62e8c6d18c1b20d42f,512,512,0.6,5.0,120.0
73bfe3fac1a13bffa0e8c18231208458,512,512,0.75,10.0,120.0
638de2a206b3a3a971ea1461280d128b,512,512,0.75,5.0,130.0
efef53f4626ac6addb2b81f22d813e33,512,512,0.65,2.5,120.0
d573e63e3eccfddab688fce139c2ea0b,512,512,0.6,2.5,120.0
370ac128539954ca70e97f6ed6a1600c,512,512,0.8,3.0,120.0
6f68b08eb8ae8b8f0a8102390091eaa4,512,512,0.8,3.75,140.0
97ea8e6fa100bfd05f085177d7d37185,512,512,0.7,3.0,120.0
920f36f700361de9ccbcdcabd4d3141d,512,512,0.75,3.0,120.0
d4205a1736a7f4bcced4e1a4d842018e,512,512,0.6,1.25,120.0
c2ea4d64d0499b30c4693db9e083047b,512,512,0.7,1.25,140.0
4571301eead826c381b35841dd277548,512,512,0.8,1.0,140.0
f60cdf0e43d33dc0aa3f73f08c263beb,512,512,0.6,1.25,140.0
ba27f0674724598a0faab0cb096351d2,512,512,0.7,5.0,100.0
183f6e1cd616dee659964f523d458395,512,512,0.7,2.5,120.0
ea45734b7d7bf67b437435e2326ce750,512,512,0.8,4.0,130.0
ada5d8d34631aff6e0734d260665f2b3,512,512,0.6,3.0,120.0
a27c0b535937078348178c748c7460e3,512,512,0.8,2.0,120.0
bbc6f99dcc87df12576ba0cf2ec4be59,512,512,0.8,5.0,130.0
eaa357e547fbc94776c13849714a6108,512,512,0.65,1.25,120.0
454ae234ed8e808cc018e420967ec771,512,512,0.8,1.25,120.0
74dfa8afd965c5380de8cfd1a05b7d99,512,512,0.7,1.25,120.0
b289488d850a4082c5d6a97162dea2a7,512,512,0.75,3.75,120.0
a42b2dd23533c58837a621315c722b1a,512,512,0.75,1.25,140.0
6bc5b64743ccf9a14273d5e4a0881beb,512,512,0.75,2.0,130.0
