protocol_id,body_part,contrast_agent,position
6abfc9271a50fc0bef6476c320336afd,CHEST,None,HFS
8f402fa789800f41110253f2a6a4110c,LUNG,APPLIED,FFS
2fb3086e481aac85375c733dd660887b,LUNG,None,HFS
a614dd95fe66bfabc0f8fb22da695ae8,CHEST,APPLIED,HFS
e39cd9ee6d4fd311f0523dbe5a8afe30,LUNG,REDI CAT & 125CC OPTIRAY,FFS
5beb70c7509cf283c450d4ab31b9d7cc,LUNG,None,FFS
da7dfb8cc910b6310ee96a6ca775e479,LUNG,125CC OPTIRAY,HFS
2abc0646bbeeb03b45c8c7e61aeb7c61,LUNG,ISOVUE,FFS
6357b376e5e1dcb33c42fa040816b46d,LUNG,100 ML OPTI 350,HFS
bf2f0f931c8a6d8a4337ddb2203936d4,LUNG,None,FFP
cba803ba74865ff60058fd40e2e0f09f,LUNG,None,HFP
dcaea81282ae224dbd2228db44eb5da2,LUNG,None,HFDL
