station_id,manufacturer,model
eaa20b664ab7cf3a1fbde9a945a25b93,SIEMENS,SOMATOM PLUS 4
9241fe0c593613393348187d160495f4,SIEMENS,Definition AS+
9eb311ea2cbc1021bcbb8bcb59d3c2d7,SIEMENS,Emotion
0a6e2b0f0dbb05353769a19ab125827d,SIEMENS,SOMATOM Emotion
80a16a9474388c084253681f395ab0b4,SIEMENS,Volume Zoom
86dc3586504bb381792aeb0954ad1820,GE MEDICAL SYSTEMS,LightSpeed VCT
50981626e82a886364dafc225c3e6cf8,SIEMENS,Sensation 16
0634512df35368d0b4b90810e5a4e3f6,GE MEDICAL SYSTEMS,LightSpeed Ultra
e153c713b7419830791a59043ed98e6c,GE MEDICAL SYSTEMS,Discovery STE
c572de94906b4ac8afb1a00b60ff8926,GE MEDICAL SYSTEMS,LightSpeed Plus
753e8de51ac96a552062737936b0de34,GE MEDICAL SYSTEMS,LightSpeed Pro 16
bb3d8900873a5790ba660ecd8383171c,GE MEDICAL SYSTEMS,Discovery ST
655a158eacc1e80010a4056dadfec77f,SIEMENS,Sensation 64
049f23bce2fa36bade19a907f65da67d,GE MEDICAL SYSTEMS,LightSpeed16
d469b86a5f2dbccaef0105f03eded9a0,GE MEDICAL SYSTEMS,HiSpeed CT/i
e66b67debf9206688c3f4a3a6ce6da4f,GE MEDICAL SYSTEMS,LightSpeed QX/i
6d0a9da9df51caabd76ee91db4077a71,SIEMENS,Biograph 6
1fb3d4915efdf0949fd916cde011ed7c,SIEMENS,Emotion Duo
88e5ee3e61f3f165cf045c3a368d1424,SIEMENS,Biograph 40
